Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_Interval_Low,Confidence_Interval_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.9,7.9,,,6.8,9.0,Overall,Overall,C1,T1,NH001,AgeStdz,BOC01,OVR01,59,
2005-2006,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),4.7,4.7,,,3.8,5.7,Gender,Male,C1,T3,NH004,AgeStdz,BOC02,GEN01,59,
2017-2018,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),5.1,5.1,,,4.1,6.4,Age,35+,C1,T3,NH004,Crude,BOC03,AGE07,59,
2009-2010,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),1.9,1.9,,,1.4,2.5,Gender,Female,C1,T4,NH003,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),2.8,2.8,,,2.3,3.5,Age,35+,C1,T5,NH002,Crude,BOC03,AGE07,59,
2011-2012,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),3.0,3.0,,,2.4,3.8,Gender,Female,C1,T5,NH002,Crude,BOC02,GEN02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),11.1,11.1,,,9.2,13.3,Age,75+,C1,T5,NH002,Crude,BOC03,AGE08,59,
2005-2006,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),2.6,2.6,,,2.0,3.2,Gender,Male,C1,T6,NH005,AgeStdz,BOC02,GEN01,59,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),30.5,30.5,,,28.9,32.2,Overall,Overall,C2,T10,NH060,Crude,BOC01,OVR01,59,
2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),15.1,15.1,,,13.3,17.2,Race,Non-Hispanic White,C2,T10,NH063,Crude,BOC04,RAC01,59,
